loan_id,customer_id,account_id,loan_type,loan_amount,outstanding_balance,interest_rate,origination_date,maturity_date,payment_frequency,collateral_value,risk_tier,loan_status,days_past_due,industry_sector,region
3031,22,1044,Marketing,800000.00,720000.00,0.065,2021-04-05,2031-04-05,Monthly,1000000.00,Medium,Active,0,Marketing,North America
3032,29,1052,Technology,1500000.00,1350000.00,0.055,2020-06-22,2030-06-22,Monthly,1875000.00,Low,Active,0,Technology,North America
3033,30,1054,Transportation,1200000.00,1080000.00,0.060,2021-02-18,2031-02-18,Monthly,1500000.00,Medium,Active,0,Transportation,North America
3034,33,1057,Healthcare,600000.00,540000.00,0.065,2021-08-30,2031-08-30,Monthly,720000.00,Low,Active,0,Healthcare,North America
3035,37,1059,Legal Services,900000.00,810000.00,0.060,2020-10-08,2030-10-08,Monthly,1125000.00,Low,Active,0,Legal,North America
3036,39,1061,Financial Services,2500000.00,2250000.00,0.050,2020-03-20,2030-03-20,Monthly,3125000.00,Low,Active,0,Financial Services,North America
3037,43,1066,Retail,400000.00,360000.00,0.070,2021-12-05,2031-12-05,Monthly,480000.00,Medium,Active,0,Retail,North America
3038,45,1069,Construction,2200000.00,1980000.00,0.065,2020-05-12,2030-05-12,Monthly,2750000.00,Medium,Active,0,Construction,North America
3039,46,1070,Consulting,1100000.00,990000.00,0.060,2021-01-15,2031-01-15,Monthly,1375000.00,Low,Active,0,Consulting,North America
3040,3,1006,Wealth Management,15000000.00,13500000.00,0.035,2018-11-08,2033-11-08,Monthly,18750000.00,Low,Active,0,Investment,North America
3041,8,1016,Institutional Investment,50000000.00,45000000.00,0.040,2017-08-12,2032-08-12,Monthly,62500000.00,Low,Active,0,Investment,North America
3042,18,1037,Private Equity,75000000.00,67500000.00,0.040,2017-04-15,2032-04-15,Monthly,93750000.00,Low,Active,0,Investment,North America
3043,24,1048,University Endowment,100000000.00,90000000.00,0.040,2015-06-12,2035-06-12,Monthly,125000000.00,Low,Active,0,Education,North America
3044,35,1063,Charitable Foundation,15000000.00,13500000.00,0.035,2019-01-25,2034-01-25,Monthly,18750000.00,Low,Active,0,Non-Profit,North America
3045,42,1067,Family Office,50000000.00,45000000.00,0.035,2018-07-03,2033-07-03,Monthly,62500000.00,Low,Active,0,Investment,North America
3046,48,1072,Pension Fund,80000000.00,72000000.00,0.040,2017-02-14,2032-02-14,Monthly,100000000.00,Low,Active,0,Investment,North America
3047,13,1025,Personal Banking,2500000.00,2250000.00,0.045,2019-02-14,2034-02-14,Monthly,3125000.00,Low,Active,0,Personal,North America
3048,15,1030,Government,25000000.00,22500000.00,0.035,2016-12-01,2031-12-01,Monthly,31250000.00,Low,Active,0,Government,North America
3049,27,1057,Insurance,50000000.00,45000000.00,0.040,2017-11-20,2032-11-20,Monthly,62500000.00,Low,Active,0,Insurance,North America
3050,49,1073,Credit Union,12000000.00,10800000.00,0.042,2019-10-05,2034-10-05,Monthly,15000000.00,Low,Active,0,Financial Services,North America 
