account_id,customer_id,account_type,product_line,account_status,balance,open_date,last_transaction_date,interest_rate,overdraft_limit,account_manager,region
1039,19,Savings,Small Business Banking,Active,140000.00,2021-11-12,2024-01-11,0.02,0.00,Matthew Young,North America
1040,20,Checking,Commercial Banking,Active,5000000.00,2018-10-03,2024-01-15,0.01,250000.00,Ashley King,North America
1041,20,Savings,Commercial Banking,Active,10000000.00,2018-10-03,2024-01-15,0.025,0.00,Ashley King,North America
1042,21,Checking,Small Business Banking,Active,360000.00,2020-07-19,2024-01-13,0.01,18000.00,Jonathan Wright,North America
1043,21,Loan,Small Business Banking,Active,-1800000.00,2020-07-19,2024-01-13,0.065,0.00,Jonathan Wright,North America
1044,22,Checking,Small Business Banking,Active,160000.00,2021-04-05,2024-01-14,0.01,8000.00,Lauren Scott,North America
1045,22,Savings,Small Business Banking,Active,320000.00,2021-04-05,2024-01-14,0.02,0.00,Lauren Scott,North America
1046,23,Checking,Commercial Banking,Active,7500000.00,2018-01-30,2024-01-15,0.01,375000.00,Ryan Green,North America
1047,23,Savings,Commercial Banking,Active,15000000.00,2018-01-30,2024-01-15,0.025,0.00,Ryan Green,North America
1048,24,Investment,Wealth Management,Active,100000000.00,2015-06-12,2024-01-15,0.04,0.00,Stephanie Baker,North America
1049,25,Checking,Commercial Banking,Active,3750000.00,2019-05-08,2024-01-15,0.01,187500.00,Andrew Adams,North America
1050,25,Savings,Commercial Banking,Active,7500000.00,2019-05-08,2024-01-15,0.025,0.00,Andrew Adams,North America 
